,Conditions,Drug,Smiles,Disease
450,Anemia|Dialysis-dependent Chronic Kidney Disease,Vadadustat,C1=CC(=CC(=C1)Cl)C2=CC(=C(N=C2)C(=O)NCC(=O)O)O,urinary_system_disease
477,"Renal Disease, End-Stage|Renal Insufficiency, Chronic|Renal Insufficiency, Acute",Bosutinib,CN1CCN(CC1)CCCOC2=C(C=C3C(=C2)N=CC(=C3NC4=CC(=C(C=C4Cl)Cl)OC)C#N)OC,urinary_system_disease
507,Renal Insufficiency|Hepatic Insufficiency,Nevirapine,CC1=C2C(=NC=C1)N(C3=C(C=CC=N3)C(=O)N2)C4CC4,urinary_system_disease
515,Overactive Bladder|Mild Cognitive Impairment,Oxybutynin,CCN(CC)CC#CCOC(=O)C(C1CCCCC1)(C2=CC=CC=C2)O,urinary_system_disease
525,Renal Impairment,Fruquintinib,CC1=C(C2=C(O1)C=C(C=C2)OC3=NC=NC4=CC(=C(C=C43)OC)OC)C(=O)NC,urinary_system_disease
541,Kidney Transplantation|Kidney Disease,Acyclovir,C1=NC2=C(N1COCCO)N=C(NC2=O)N,urinary_system_disease
542,Kidney Transplantation|Kidney Disease,Pentamidine,C1=CC(=CC=C1C(=N)N)OCCCCCOC2=CC=C(C=C2)C(=N)N,urinary_system_disease
543,Kidney Transplantation|Kidney Disease,Clotrimazole,C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3Cl)N4C=CN=C4,urinary_system_disease
544,Kidney Transplantation|Kidney Disease,Nystatin,CC1C=CC=CCCC=CC=CC=CC=CC(CC2C(C(CC(O2)(CC(C(CCC(CC(CC(CC(=O)OC(C(C1O)C)C)O)O)O)O)O)O)O)C(=O)O)OC3C(C(C(C(O3)C)O)N)O,urinary_system_disease
562,Stage III Cutaneous Melanoma|Stage IV Cutaneous Melanoma|Locally Advanced Melanoma|Locally Advanced Solid Neoplasm|Metastatic Head and Neck Squamous Cell Carcinoma|Metastatic Malignant Solid Neoplasm|Metastatic Melanoma|Metastatic Urothelial Carcinoma|Non-Small Cell Lung Carcinoma|Stage IB Lung Cancer AJCC v7|Stage III Cutaneous Squamous Cell Carcinoma of the Head and Neck AJCC v8|Stage III Lung Cancer AJCC v8|Stage III Ureter Cancer AJCC v8|Stage IIIA Lung Cancer AJCC v8|Stage IIIB Lung Cancer AJCC v8|Stage IIIC Lung Cancer AJCC v8|Stage IV Cutaneous Squamous Cell Carcinoma of the Head and Neck AJCC v8|Stage IV Lung Cancer AJCC v8|Stage IV Ureter Cancer AJCC v8|Stage IVA Lung Cancer AJCC v8|Stage IVB Lung Cancer AJCC v8,Abexinostat,CN(C)CC1=C(OC2=CC=CC=C21)C(=O)NCCOC3=CC=C(C=C3)C(=O)NO,urinary_system_disease
568,Renal Impairment,Brensocatib,CN1C2=C(C=CC(=C2)C3=CC=C(C=C3)CC(C#N)NC(=O)C4CNCCCO4)OC1=O,urinary_system_disease
572,Diabetic Nephropathy,Topiroxostat,C1=CN=CC=C1C2=NC(=NN2)C3=CC(=NC=C3)C#N,urinary_system_disease
584,Bladder Cancer,Mitomycin,CC1=C(C(=O)C2=C(C1=O)N3CC4C(C3(C2COC(=O)N)OC)N4)N,urinary_system_disease
587,Neurogenic Bladder,Methantheline,CC[N+](C)(CC)CCOC(=O)C1C2=CC=CC=C2OC3=CC=CC=C13,urinary_system_disease
604,Advanced Cancer|Pancreatic Cancer|Renal Cell Cancer|Non Small Cell Lung Cancer|Colorectal Carcinoma|Endometrial|Uterine,Irinotecan,CCC1=C2CN3C(=CC4=C(C3=O)COC(=O)C4(CC)O)C2=NC5=C1C=C(C=C5)OC(=O)N6CCC(CC6)N7CCCCC7,urinary_system_disease
624,HIV,Bictegravir,C1CC2CC1N3C(O2)CN4C=C(C(=O)C(=C4C3=O)O)C(=O)NCC5=C(C=C(C=C5F)F)F,urinary_system_disease
641,Lupus Nephritis,Laquinimod,CCN(C1=CC=CC=C1)C(=O)C2=C(C3=C(C=CC=C3Cl)N(C2=O)C)O,urinary_system_disease
650,Renal Impairment,Glasdegib,CN1CCC(CC1C2=NC3=CC=CC=C3N2)NC(=O)NC4=CC=C(C=C4)C#N,urinary_system_disease
654,End Stage Renal Disease,Pibrentasvir,CC(C(C(=O)N1CCCC1C2=NC3=C(N2)C=C(C(=C3)F)C4CCC(N4C5=CC(=C(C(=C5)F)N6CCC(CC6)C7=CC=C(C=C7)F)F)C8=CC9=C(C=C8F)N=C(N9)C1CCCN1C(=O)C(C(C)OC)NC(=O)OC)NC(=O)OC)OC,urinary_system_disease
656,Paroxysmal Nocturnal Hemoglobinuria,Cemdisiran,CC(=O)NC1C(C(C(OC1OCCCCC(=O)NCCCNC(=O)CCOCC(COCCC(=O)NCCCNC(=O)CCCCOC2C(C(C(C(O2)CO)O)O)NC(=O)C)(COCCC(=O)NCCCNC(=O)CCCCOC3C(C(C(C(O3)CO)O)O)NC(=O)C)NC(=O)CCCCCCCCCCC(=O)N4CC(CC4COP(=O)(O)O)O)CO)O)O,urinary_system_disease
666,Uremic Pruritus,Nalfurafine,CN(C1CCC2(C3CC4=C5C2(C1OC5=C(C=C4)O)CCN3CC6CC6)O)C(=O)C=CC7=COC=C7,urinary_system_disease
675,Childhood Renal Cell Carcinoma|Clear Cell Renal Cell Carcinoma|Clear Cell Sarcoma of the Kidney|Papillary Renal Cell Carcinoma|Rhabdoid Tumor of the Kidney|Stage I Renal Cell Cancer|Stage I Renal Wilms Tumor|Stage II Renal Cell Cancer|Stage II Renal Wilms Tumor|Stage III Renal Cell Cancer|Stage III Renal Wilms Tumor|Stage IV Renal Cell Cancer|Stage IV Renal Wilms Tumor,Dactinomycin,CC1C(C(=O)NC(C(=O)N2CCCC2C(=O)N(CC(=O)N(C(C(=O)O1)C(C)C)C)C)C(C)C)NC(=O)C3=C4C(=C(C=C3)C)OC5=C(C(=O)C(=C(C5=N4)C(=O)NC6C(OC(=O)C(N(C(=O)CN(C(=O)C7CCCN7C(=O)C(NC6=O)C(C)C)C)C)C(C)C)C)N)C,urinary_system_disease
691,"Transplant; Failure, Kidney",Desflurane,C(C(F)(F)F)(OC(F)F)F,urinary_system_disease
693,"Chronic Kidney Disease|Hyperparathyroidism, Secondary",Cinacalcet,CC(C1=CC=CC2=CC=CC=C21)NCCCC3=CC(=CC=C3)C(F)(F)F,urinary_system_disease
700,C3 Glomerulonephritis|C3 Glomerulopathy|Immune Complex Membranoproliferative Glomerulonephritis|IC-MPGN|Dense Deposit Disease,Danicopan,CC1=NC=C(C=N1)C2=CC3=C(C=C2)N(N=C3C(=O)C)CC(=O)N4CC(CC4C(=O)NC5=NC(=CC=C5)Br)F,urinary_system_disease
701,Renal Impairment,Doravirine,CN1C(=NNC1=O)CN2C=CC(=C(C2=O)OC3=CC(=CC(=C3)C#N)Cl)C(F)(F)F,urinary_system_disease
707,"Polycystic Liver Disease|Hepatomegaly|Liver Diseases|Polycystic Kidney, Autosomal Dominant",Lanreotide,CC(C)C1C(=O)NC(CSSCC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N1)CCCCN)CC2=CNC3=CC=CC=C32)CC4=CC=C(C=C4)O)NC(=O)C(CC5=CC6=CC=CC=C6C=C5)N)C(=O)NC(C(C)O)C(=O)N,urinary_system_disease
716,Gout|Moderate Renal Impairment,Naproxen,CC(C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O,urinary_system_disease
717,Gout|Moderate Renal Impairment,Lansoprazole,CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,urinary_system_disease
726,Kidney Diseases|Kidney Transplantation|Kidney Transplant|Renal Transplantation|Renal Transplant,Valganciclovir,CC(C)C(C(=O)OCC(CO)OCN1C=NC2=C1N=C(NC2=O)N)N,urinary_system_disease
735,Renal Function,Ulipristal,CC(=O)C1(CCC2C1(CC(C3=C4CCC(=O)C=C4CCC23)C5=CC=C(C=C5)N(C)C)C)O,urinary_system_disease
737,"Kidney Failure, Chronic",Alisporivir,CCC1C(=O)N(C(C(=O)N(C(C(=O)NC(C(=O)N(C(C(=O)NC(C(=O)NC(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N1)C(C(C)CC=CC)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)C(C)C)CC)C)C,urinary_system_disease
739,Bladder Cancer,Mitomycin C,CC1=C(C(=O)C2=C(C1=O)N3CC4C(C3(C2COC(=O)N)OC)N4)N,urinary_system_disease
750,"Carcinoma, Renal Cell",Lactoferrin,CCC(C)C(C(=NC(C(C)O)C(=NC(CS)C(=NC(C(C)C)C(=NC(CCCNC(=N)N)C(=NC(CCCNC(=N)N)C(=NC(C)C(=NC(CC1=CC=CC=C1)C(=O)O)O)O)O)O)O)O)O)N=C(C(CO)N=C(C2CCCN2C(=O)C(C)N=C(CN=C(C(CC(C)C)N=C(C(CCCCN)N=C(C(CCCCN)N=C(C(CCSC)N=C(C(CCCNC(=N)N)N=C(C(CC3=CNC4=CC=CC=C43)N=C(C(CCC(=N)O)N=C(C(CC5=CNC6=CC=CC=C65)N=C(C(CCCNC(=N)N)N=C(C(CCCNC(=N)N)N=C(C(CS)N=C(C(CCCCN)N=C(C(CC7=CC=CC=C7)N)O)O)O)O)O)O)O)O)O)O)O)O)O)O)O)O,urinary_system_disease
757,Chronic Kidney Disease|Diabetic Nephropathy,Atrasentan,CCCCN(CCCC)C(=O)CN1CC(C(C1C2=CC=C(C=C2)OC)C(=O)O)C3=CC4=C(C=C3)OCO4,urinary_system_disease
768,Renal Impairment,Hydrocodone,CN1CCC23C4C1CC5=C2C(=C(C=C5)OC)OC3C(=O)CC4,urinary_system_disease
783,Insomnia,Suvorexant,CC1CCN(CCN1C(=O)C2=C(C=CC(=C2)C)N3N=CC=N3)C4=NC5=C(O4)C=CC(=C5)Cl,urinary_system_disease
790,End Stage Renal Disease|Chronic Pain|Opioid Dependence,Buprenorphine,CC(C)(C)C(C)(C1CC23CCC1(C4C25CCN(C3CC6=C5C(=C(C=C6)O)O4)CC7CC7)OC)O,urinary_system_disease
792,Urinary Schistosomiasis,Mefloquine,C1CCNC(C1)C(C2=CC(=NC3=C2C=CC=C3C(F)(F)F)C(F)(F)F)O,urinary_system_disease
797,"Kidney Failure, Chronic",Tetrahydrobiopterin,CC(C(C1CNC2=C(N1)C(=O)NC(=N2)N)O)O,urinary_system_disease
798,"Kidney Failure, Chronic",Folate,C1=CC(=CC=C1C(=O)NC(CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=O)NC(=N3)N,urinary_system_disease
816,Renal Impairment,Olorofim,CC1=CC(=C(N1C)C(=O)C(=O)NC2=CC=C(C=C2)N3CCN(CC3)C4=NC=C(C=N4)F)C5=CC=CC=C5,urinary_system_disease
838,Benign Prostatic Hypertrophy,Ozarelix,CCCCC(C(=O)NC(CCCN=C(N)N)C(=O)N1CCCC1C(=O)NC(C)C(=O)N)NC(=O)C(CCCCNC(=O)N)NC(=O)C(CC2=CC=C(C=C2)O)N(C)C(=O)C(CO)NC(=O)C(CC3=CN=CC=C3)NC(=O)C(CC4=CC=C(C=C4)Cl)NC(=O)C(CC5=CC6=CC=CC=C6C=C5)NC(=O)C,urinary_system_disease
849,Kidney Failure,Voriconazole,CC(C1=NC=NC=C1F)C(CN2C=NC=N2)(C3=C(C=C(C=C3)F)F)O,urinary_system_disease
878,Urinary Tract Infection,Nitrofurantoin,C1C(=O)NC(=O)N1N=CC2=CC=C(O2)[N+](=O)[O-],urinary_system_disease
887,Renal Impairment,Nalmefene,C=C1CCC2(C3CC4=C5C2(C1OC5=C(C=C4)O)CCN3CC6CC6)O,urinary_system_disease
896,Healthy|Renal Impairment,Quinine,COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O,urinary_system_disease
918,Renal Cell Carcinoma,Decitabine,C1C(C(OC1N2C=NC(=NC2=O)N)CO)O,urinary_system_disease
920,Overactive Bladder,Solabegron,C1=CC(=CC(=C1)C(=O)O)C2=CC(=CC=C2)NCCNCC(C3=CC(=CC=C3)Cl)O,urinary_system_disease
930,Renal Impairment,Glepaglutide,CCC(C)C(C(=O)NC(C(C)O)C(=O)NC(CC(=O)O)C(=O)NC(CCCCN)C(=O)NC(CCCCN)C(=O)NC(CCCCN)C(=O)NC(CCCCN)C(=O)NC(CCCCN)C(=O)NC(CCCCN)C(=O)N)NC(=O)C(CCCCN)NC(=O)C(C(C)O)NC(=O)C(C)NC(=O)C(C(C)CC)NC(=O)C(CC(C)C)NC(=O)C(CC1=CNC2=CC=CC=C21)NC(=O)C(C)NC(=O)C(C(C)CC)NC(=O)C(CC3=CC=CC=C3)NC(=O)C(CC(=O)O)NC(=O)C(CCCN=C(N)N)NC(=O)C(C)NC(=O)C(C)NC(=O)C(CC(C)C)NC(=O)C(C)NC(=O)C(CC(=O)O)NC(=O)C(CC(C)C)NC(=O)C(C(C)CC)NC(=O)C(C(C)O)NC(=O)C(C)NC(=O)C(CC(C)C)NC(=O)C(CCC(=O)O)NC(=O)C(CO)NC(=O)C(CO)NC(=O)C(CC4=CC=CC=C4)NC(=O)C(C(C)O)NC(=O)CNC(=O)C(CCC(=O)O)NC(=O)CNC(=O)C(CC5=CNC=N5)N,urinary_system_disease
957,Urinary Tract Infections,Cefiderocol,CC(C)(C(=O)O)ON=C(C1=CSC(=N1)N)C(=O)NC2C3N(C2=O)C(=C(CS3)C[N+]4(CCCC4)CCNC(=O)C5=C(C(=C(C=C5)O)O)Cl)C(=O)[O-],urinary_system_disease
958,Urinary Tract Infections,Imipenem,CC(C1C2CC(=C(N2C1=O)C(=O)O)SCCN=CN)O,urinary_system_disease
959,Renal Impairment,Deflazacort,CC1=NC2(C(O1)CC3C2(CC(C4C3CCC5=CC(=O)C=CC45C)O)C)C(=O)COC(=O)C,urinary_system_disease
960,Mesothelioma|Uveal Melanoma|Renal Cell Carcinoma|Cholangiocarcinoma,Niraparib,C1CC(CNC1)C2=CC=C(C=C2)N3C=C4C=CC=C(C4=N3)C(=O)N,urinary_system_disease
974,Renal Insufficiency,Aztreonam,CC1C(C(=O)N1S(=O)(=O)O)NC(=O)C(=NOC(C)(C)C(=O)O)C2=CSC(=N2)N,urinary_system_disease
975,Renal Insufficiency,Avibactam,C1CC(N2CC1N(C2=O)OS(=O)(=O)O)C(=O)N,urinary_system_disease
978,Urinary Tract Infection Symptomatic|Acute Pyelonephritis|Urinary Tract Infection Complicated,Piperacillin,CCN1CCN(C(=O)C1=O)C(=O)NC(C2=CC=CC=C2)C(=O)NC3C4N(C3=O)C(C(S4)(C)C)C(=O)O,urinary_system_disease
992,Blood And Marrow Transplantation,Cidofovir,C1=CN(C(=O)N=C1N)CC(CO)OCP(=O)(O)O,urinary_system_disease
1002,Muscle Invasive Bladder Cancer,Vistusertib,CC1COCCN1C2=NC(=NC3=C2C=CC(=N3)C4=CC(=CC=C4)C(=O)NC)N5CCOCC5C,urinary_system_disease
1054,"Carcinoma, Renal Cell",Lapatinib,CS(=O)(=O)CCNCC1=CC=C(O1)C2=CC3=C(C=C2)N=CN=C3NC4=CC(=C(C=C4)OCC5=CC(=CC=C5)F)Cl,urinary_system_disease
1066,Renal Insufficiency|Kidney Diseases|Urologic Diseases,Mirodenafil,CCCC1=CN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)CCO)OCCC)CC,urinary_system_disease
1083,Renal Impairment,Tenofovir,CC(CN1C=NC2=C(N=CN=C21)N)OCP(=O)(O)O,urinary_system_disease
1107,Clear-Cell Renal Cell Carcinoma,Sitravatinib,COCCNCC1=CN=C(C=C1)C2=CC3=NC=CC(=C3S2)OC4=C(C=C(C=C4)NC(=O)C5(CC5)C(=O)NC6=CC=C(C=C6)F)F,urinary_system_disease
1123,Diabetic Nephropathy,Pyridoxamine,CC1=NC=C(C(=C1O)CN)CO,urinary_system_disease
1129,Cognitive Disorders|Delirium|Acute Kidney Injury,Ketamine,CNC1(CCCCC1=O)C2=CC=CC=C2Cl,urinary_system_disease
1135,Interstitial Cystitis|Painful Bladder Syndrome|Pain,Oxycodone,CN1CCC23C4C(=O)CCC2(C1CC5=C3C(=C(C=C5)OC)O4)O,urinary_system_disease
1151,Lupus Nephritis,Voclosporin,CCC1C(=O)N(CC(=O)N(C(C(=O)NC(C(=O)N(C(C(=O)NC(C(=O)NC(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N1)C(C(C)CC=CC=C)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C,urinary_system_disease
1158,Inflammatory Disease,Lanraplenib,C1CN(CCN1C2COC2)C3=CC=C(C=C3)NC4=NC(=CN5C4=NC=C5)C6=CN=CC(=N6)N,urinary_system_disease
1159,Secondary Hyperparathyroidism in Patients With ESRD on Hemodialysis,Etelcalcetide,CC(C(=O)NC(CCCN=C(N)N)C(=O)N)NC(=O)C(CCCN=C(N)N)NC(=O)C(CCCN=C(N)N)NC(=O)C(CCCN=C(N)N)NC(=O)C(C)NC(=O)C(CSSCC(C(=O)O)N)NC(=O)C,urinary_system_disease
1163,Bladder Pain Syndrome,Gefapixant,CC(C)C1=CC(=C(C=C1OC2=CN=C(N=C2N)N)S(=O)(=O)N)OC,urinary_system_disease
1164,Complicated Urinary Tract Infection|Pyelonephritis,Ceftolozane,CC(C)(C(=O)O)ON=C(C1=NSC(=N1)N)C(=O)NC2C3N(C2=O)C(=C(CS3)C[N+]4=CC(=C(N4C)N)NC(=O)NCCN)C(=O)[O-],urinary_system_disease
1165,Complicated Urinary Tract Infection|Pyelonephritis,Tazobactam,CC1(C(N2C(S1(=O)=O)CC2=O)C(=O)O)CN3C=CN=N3,urinary_system_disease
1166,Complicated Urinary Tract Infection|Pyelonephritis,Meropenem,CC1C2C(C(=O)N2C(=C1SC3CC(NC3)C(=O)N(C)C)C(=O)O)C(C)O,urinary_system_disease
1175,Renal Impairment,Asciminib,C1CN(CC1O)C2=C(C=C(C=N2)C(=O)NC3=CC=C(C=C3)OC(F)(F)Cl)C4=CC=NN4,urinary_system_disease
1185,Renal Impairment,Telotristat,CC1=NN(C=C1)C2=C(C=CC(=C2)Cl)C(C(F)(F)F)OC3=NC(=NC(=C3)C4=CC=C(C=C4)CC(C(=O)O)N)N,urinary_system_disease
1189,Renal Insufficiency,Dalfampridine,C1=CN=CC=C1N,urinary_system_disease
1191,Bladder Cancer|Transitional Cell Carcinoma|Metastasis,Vinflunine,CCC12C=CCN3C1C4(CC3)C(C(C2OC(=O)C)(C(=O)OC)O)N(C5=CC(=C(C=C45)C6(CC7CC(CN(C7)CC8=C6NC9=CC=CC=C89)C(C)(F)F)C(=O)OC)OC)C,urinary_system_disease
1196,Renal Impairment|Renal Insufficiency|Kidney Diseases|Pharmacokinetics,Elafibranor,CC1=CC(=CC(=C1OC(C)(C)C(=O)O)C)C=CC(=O)C2=CC=C(C=C2)SC,urinary_system_disease
1202,Secondary Hyperparathyroidism|Hemodialysis,Paricalcitol,CC(C=CC(C)C(C)(C)O)C1CCC2C1(CCCC2=CC=C3CC(CC(C3)O)O)C,urinary_system_disease
1214,Renal Impairment,Lemborexant,CC1=NC(=NC=C1OCC2(CC2C(=O)NC3=NC=C(C=C3)F)C4=CC(=CC=C4)F)C,urinary_system_disease
1218,"Collapsing Glomerulopathy|Glomerulosclerosis, Focal Segmental",Isotretinoin,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)O)C)C,urinary_system_disease
1246,Urologic Neoplasms,Pemetrexed,C1=CC(=CC=C1CCC2=CNC3=C2C(=O)NC(=N3)N)C(=O)NC(CCC(=O)O)C(=O)O,urinary_system_disease
1256,"Anti-Infective Agents, Urinary|Escherichia Coli Infections|Klebsiella Infections|Kidney Transplantation|Urinary Tract Infections",Sitafloxacin,C1CC12CN(CC2N)C3=C(C=C4C(=C3Cl)N(C=C(C4=O)C(=O)O)C5CC5F)F,urinary_system_disease
1257,"Anti-Infective Agents, Urinary|Escherichia Coli Infections|Klebsiella Infections|Kidney Transplantation|Urinary Tract Infections",Ertapenem,CC1C2C(C(=O)N2C(=C1SC3CC(NC3)C(=O)NC4=CC=CC(=C4)C(=O)O)C(=O)O)C(C)O,urinary_system_disease
1268,"Urinary Incontinence, Stress|Fecal Incontinence",Imipramine,CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31,urinary_system_disease
1315,Type 2 Diabetes Mellitus|Chronic Kidney Diseases,Cotadutide,CCCCCCCCCCCCCCCC(=O)NC(CCC(=O)NCCCCC(C(=O)NC(CO)C(=O)NC(CCC(=O)O)C(=O)NC(CC1=CC=C(C=C1)O)C(=O)NC(CC(C)C)C(=O)NC(CC(=O)O)C(=O)NC(CO)C(=O)NC(CCC(=O)O)C(=O)NC(CCCNC(=N)N)C(=O)NC(C)C(=O)NC(CCCNC(=N)N)C(=O)NC(CC(=O)O)C(=O)NC(CC2=CC=CC=C2)C(=O)NC(C(C)C)C(=O)NC(C)C(=O)NC(CC3=CNC4=CC=CC=C43)C(=O)NC(CC(C)C)C(=O)NC(CCC(=O)O)C(=O)NC(C)C(=O)NCC(=O)NCC(=O)O)NC(=O)C(CC(=O)O)NC(=O)C(CO)NC(=O)C(C(C)O)NC(=O)C(CC5=CC=CC=C5)NC(=O)C(C(C)O)NC(=O)CNC(=O)C(CCC(=O)N)NC(=O)C(CO)NC(=O)C(CC6=CNC=N6)N)C(=O)O,urinary_system_disease
1347,Neoplasms|Solid Tumors|Bone Cancer|Kidney Tumor|Neuroblastoma,Temozolomide,CN1C(=O)N2C=NC(=C2N=N1)C(=O)N,urinary_system_disease
1349,Neoplasms|Solid Tumors|Bone Cancer|Kidney Tumor|Neuroblastoma,Ifosfamide,C1CN(P(=O)(OC1)NCCCl)CCCl,urinary_system_disease
1358,Kidney Disease,Eprosartan,CCCCC1=NC=C(N1CC2=CC=C(C=C2)C(=O)O)C=C(CC3=CC=CS3)C(=O)O,urinary_system_disease
1360,Urinary Incontinence,Litoxetine,C1CNCCC1OCC2=CC3=CC=CC=C3C=C2,urinary_system_disease
1364,Prostatic Hyperplasia,Lemuteporfin,CC1=C(C2=CC3=NC(=CC4=C(C(=C(N4)C=C5C6(C(C(=CC=C6C(=N5)C=C1N2)C(=O)OC)C(=O)OC)C)C)CCC(=O)OCCO)C(=C3C)CCC(=O)OCCO)C=C,urinary_system_disease
1365,Urinary Tract Infections|Catheter Infection|Catheter-Related Infections,Povidone,C=CN1CCCC1=O,urinary_system_disease
1423,"Neoplasms|Neoplasms, Glandular and Epithelial|Neoplasms by Histologic Type|Bronchial Neoplasms|Lung Neoplasms|Respiratory Tract Neoplasms|Thoracic Neoplasms|Digestive System Neoplasms|Endocrine Gland Neoplasms|Carcinoma, Non-Small-Cell Lung|Lung Diseases|Breast Diseases|Renal Neoplasm|Solid Tumors",Entinostat,C1=CC=C(C(=C1)N)NC(=O)C2=CC=C(C=C2)CNC(=O)OCC3=CN=CC=C3,urinary_system_disease
1446,Renal Insufficiency,Tiotropium,C[N+]1(C2CC(CC1C3C2O3)OC(=O)C(C4=CC=CS4)(C5=CC=CS5)O)C,urinary_system_disease
1449,Renal Impairment|Diabetes,Vildagliptin,C1CC(N(C1)C(=O)CNC23CC4CC(C2)CC(C4)(C3)O)C#N,urinary_system_disease
1471,HCV Infection,Voxilaprevir,CCC1C2CN(C1C(=O)NC3(CC3C(F)F)C(=O)NS(=O)(=O)C4(CC4)C)C(=O)C(NC(=O)OC5CC5CCCCC(C6=NC7=C(C=C(C=C7)OC)N=C6O2)(F)F)C(C)(C)C,urinary_system_disease
1478,Idiopathic Overactive Bladder With Urinary Incontinence,Trospium,C1CC[N+]2(C1)C3CCC2CC(C3)OC(=O)C(C4=CC=CC=C4)(C5=CC=CC=C5)O,urinary_system_disease
1479,Diabetic Nephropathy,Nidufexor,CN1C2=C(COC3=C2C=C(C=C3)Cl)C(=N1)C(=O)N(CC4=CC=CC=C4)CC5=CC=C(C=C5)C(=O)O,urinary_system_disease
1485,"Diabetes Mellitus, Type 1",Benfotiamine,CC1=NC=C(C(=N1)N)CN(C=O)C(=C(CCOP(=O)(O)O)SC(=O)C2=CC=CC=C2)C,urinary_system_disease
1486,Urinary Stress Incontinence,Duloxetine,CNCCC(C1=CC=CS1)OC2=CC=CC3=CC=CC=C32,urinary_system_disease
1494,Hepatitis C Virus,Grazoprevir,CC(C)(C)C1C(=O)N2CC(CC2C(=O)NC3(CC3C=C)C(=O)NS(=O)(=O)C4CC4)OC5=NC6=C(C=CC(=C6)OC)N=C5CCCCCC7CC7OC(=O)N1,urinary_system_disease
1495,Hepatitis C Virus,Elbasvir,CC(C)C(C(=O)N1CCCC1C2=NC=C(N2)C3=CC4=C(C=C3)N5C(OC6=C(C5=C4)C=CC(=C6)C7=CN=C(N7)C8CCCN8C(=O)C(C(C)C)NC(=O)OC)C9=CC=CC=C9)NC(=O)OC,urinary_system_disease
1512,Melanoma|Prostate Cancer|Renal Cancer,Naltrexone,C1CC1CN2CCC34C5C(=O)CCC3(C2CC6=C4C(=C(C=C6)O)O5)O,urinary_system_disease
1519,Renal Insufficiency,Setmelanotide,CC1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(CSSCC(C(=O)N1)NC(=O)C(CCCN=C(N)N)NC(=O)C)C(=O)N)CC2=CNC3=CC=CC=C32)CCCN=C(N)N)CC4=CC=CC=C4)CC5=CN=CN5,urinary_system_disease
1524,Neuromuscular Blockade|Renal Impairment,Cisatracurium,C[N+]1(CCC2=CC(=C(C=C2C1CC3=CC(=C(C=C3)OC)OC)OC)OC)CCC(=O)OCCCCCOC(=O)CC[N+]4(CCC5=CC(=C(C=C5C4CC6=CC(=C(C=C6)OC)OC)OC)OC)C,urinary_system_disease
1527,Neuromuscular Blockade|Renal Impairment,Sugammadex,C(CSCC1C2C(C(C(O1)OC3C(OC(C(C3O)O)OC4C(OC(C(C4O)O)OC5C(OC(C(C5O)O)OC6C(OC(C(C6O)O)OC7C(OC(C(C7O)O)OC8C(OC(C(C8O)O)OC9C(OC(O2)C(C9O)O)CSCCC(=O)O)CSCCC(=O)O)CSCCC(=O)O)CSCCC(=O)O)CSCCC(=O)O)CSCCC(=O)O)CSCCC(=O)O)O)O)C(=O)O,urinary_system_disease
1537,"Renal Disease, End Stage",Amisulpride,CCN1CCCC1CNC(=O)C2=CC(=C(C=C2OC)N)S(=O)(=O)CC,urinary_system_disease
1544,Head and Neck Neoplasms|Lung Neoplasms|Urinary Bladder Neoplasms|Breast Neoplasms,Tetrahydrouridine,C1CN(C(=O)NC1O)C2C(C(C(O2)CO)O)O,urinary_system_disease
1563,Ascites Infection,Rifaximin,CC1C=CC=C(C(=O)NC2=C(C3=C(C4=C(C(=C3O)C)OC(C4=O)(OC=CC(C(C(C(C(C(C1O)C)O)C)OC(=O)C)C)OC)C)C5=C2N6C=CC(=CC6=N5)C)O)C,urinary_system_disease
1576,End Stage Renal Disease,Plazomicin,CC1(COC(C(C1NC)O)OC2C(CC(C(C2O)OC3C(CC=C(O3)CNCCO)N)N)NC(=O)C(CCN)O)O,urinary_system_disease
1675,"Kidney Failure, Chronic",Pimodivir,C1CC2CCC1C(C2NC3=NC(=NC=C3F)C4=CNC5=C4C=C(C=N5)F)C(=O)O,urinary_system_disease
1696,Renal Cell Carcinoma,Brivanib,CC1=CC2=C(N1)C=CC(=C2F)OC3=NC=NN4C3=C(C(=C4)OCC(C)O)C,urinary_system_disease
